Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2014-08-13,BarackObama,"Check it out: Last week, @OFA volunteers celebrated the success of health care reform. http://t.co/BX57J6siQE",660,235,0.8909999999999999,0.8909999999999999
2014-08-13,BarackObama,Read how @OFA supporters are taking a stand against carbon pollution: http://t.co/5MDzhFcle7 #ActOnClimate,642,299,0.4404,0.4404
2014-08-13,BarackObama,Retweet if you support cutting dangerous carbon pollution. http://t.co/h3PeFwnPUJ,3225,5993,-0.2263,-0.2263
2014-08-14,BarackObama,Happening now: President Obama is delivering a statement. Tune in: http://t.co/Iafy3SWuJd,974,1251,0.0,0.0
2014-08-15,BarackObama,It's time to get serious and #ActOnClimate. http://t.co/VqELsMFhe9,2310,2049,-0.0772,-0.0772
2014-08-15,BarackObama,Getting covered made Jason so happy he wanted to tell everyone: http://t.co/Jaqm5wffZl #ThisIsWhy,743,264,0.6948,0.6948
2014-08-15,BarackObama,FACT: 97% of scientists and NASA accept the science of climate change. #ActOnClimate http://t.co/hOfccyKlH1,2399,2133,0.3818,0.3818
2014-08-15,BarackObama,Earning the minimum wage while raising a family shouldn't mean living in poverty. It's time to #RaiseTheWage: http://t.co/7lns8I3a0r,2196,1536,-0.5106,-0.5106
2014-08-15,BarackObama,"In the weekly address, President Obama discusses the importance of affordable higher education: http://t.co/3GmyiNmg2p #CollegeOpportunity",1465,853,0.3612,0.3612
2014-08-15,BarackObama,Sign the petition: http://t.co/R1tiRbhEtM It's time to raise the minimum wage. #RaiseTheWage,1788,1200,0.0,0.0
2014-08-18,BarackObama,Happening now: The President delivers a statement on Iraq and the situation in #Ferguson. http://t.co/5mMtTkVjPy,1080,632,0.0,0.0
2014-08-19,BarackObama,"""Vermonters sent him to Washington to follow his conscience, and he did them proud."" —President Obama on Senator James Jeffords' passing",811,342,0.0,0.0
2014-08-19,BarackObama,Good news: The number of job openings just hit a 13-year high. http://t.co/aXLtfcA8vA #ActOnJobs,1237,741,0.4939,0.4939
2014-08-19,BarackObama,"""Housing construction bounced back in July, hitting its highest level in eight months..."" More from @thehill: http://t.co/k4EuLXcaBl",826,387,0.0,0.0
2014-08-20,BarackObama,Happening now: President Obama delivers a statement. Tune in to watch: http://t.co/eyUW5wUZ8T,816,404,0.0,0.0
2014-08-20,BarackObama,ICYMI: American businesses have added 9.9 million jobs since early 2010. http://t.co/cjxvcyJ2ov #ActOnJobs,816,400,0.0,0.0
2014-08-20,BarackObama,The economy is growing—but there's still more work to do. http://t.co/qDJ3WCC9KI #OpportunityForAll http://t.co/cRxqOGEnKq,1059,614,0.0,0.0
2014-08-21,BarackObama,"The economy should grow from the middle out, not the top down. Add your name if you agree: http://t.co/AKZaW19tgi #OpportunityForAll",1190,622,0.2283,0.2283
2014-08-21,BarackObama,This is history: @OFA put more than 400k names on the permanent record of people who made health care reform happen. http://t.co/MddcLjKDvO,604,256,0.4939,0.4939
2014-08-21,BarackObama,Bill finally got covered—for less than he expected. http://t.co/pw5RZOYZhq #ThisIsWhy,630,233,0.0,0.0
2014-08-21,BarackObama,Add your name if you believe in building economic #OpportunityForAll: http://t.co/iVH3sJaO7L,877,410,0.0,0.0
2014-08-21,BarackObama,"More good news about the economy: ""Auto Production at Its Highest Rate Since 2002"" http://t.co/vTLxwxGGGV #ActOnJobs",1062,606,0.4927,0.4927
2014-08-22,BarackObama,Here are a few ways Congress should help keep the economy growing: http://t.co/T4wSNAPG2T #OpportunityForAll,651,322,0.5267,0.5267
2014-08-22,BarackObama,"Supporting new carbon pollution limits, @OFA volunteers were out in force gathering signatures in their communities. http://t.co/a0s9vg5SAn",699,308,0.4404,0.4404
2014-08-22,BarackObama,Maryanne has better coverage at a lower cost: http://t.co/1amxtPnwiL #ThisIsWhy http://t.co/FBGJw5aI91,776,331,0.1779,0.1779
2014-08-22,BarackObama,The economy is headed in the right direction—but there's more work to do: http://t.co/o7dgTKI54T #OpportunityForAll,870,430,0.0,0.0
2014-08-22,BarackObama,"Watch the weekly address: The economy is gaining momentum, but Congress must do its part. http://t.co/qncRnvs40m",858,400,0.2263,0.2263
2014-08-22,BarackObama,Read the truth about economic opportunity: http://t.co/LF4BRP3qax #OpportunityForAll,720,377,0.6249,0.6249
2014-08-22,BarackObama,"""Thanks to the decisions we made to rescue and rebuild our economy ... America is leading again."" —President Obama http://t.co/Q1f29e68Wg",1526,782,0.7351,0.7351
2014-08-22,BarackObama,"Shout out to #LLWS U.S. champions, Chicago's own Jackie Robinson West All-Stars. You made your city and country proud.",2470,1657,0.7579,0.7579
2014-08-25,BarackObama,Congress needs to act to build economic #OpportunityForAll: http://t.co/U6ILIOxf35,638,275,0.0,0.0
