Date,author,content,number_of_likes,number_of_shares
2016-03-09 23:33:00,britneyspears,.@BOMBASTlCLOVE: what's your favorite emoji? #AboutGlory https://t.co/PEzcDcnm39,2800,959
2016-03-09 23:40:00,britneyspears,.@momstsmodel: How do you prepare for shows? #AboutGlory https://t.co/K1fw9oPXer,2620,727
2016-03-09 23:45:00,britneyspears,.@xXNicolaJayneXx: Are you on Ellen next week? #AboutGlory https://t.co/vpd0SUspt7,2678,737
2016-03-09 23:49:00,britneyspears,.@MarineK_22: Why a French song? #AboutGlory https://t.co/4T9Ju8nrZJ,3623,1029
2016-03-09 23:51:00,britneyspears,Thank you for the great questions! This week has been amazing and I can't thank you all enough for the love &amp; support 💖 #AboutGlory,5577,1240
2016-03-10 20:35:00,britneyspears,Gotta love rice 😂 @JRossShow https://t.co/BvP7orQxTO,5451,1707
2016-03-10 23:18:00,britneyspears,I’d love to come back anytime to watch @Rylan put on another show like that 😂 Thank you for having me!! https://t.co/xafa50x7gA,6092,1456
2016-03-11 21:17:00,britneyspears,@ashes_319 Thank you for your @NVCCF donation on @Prizeo 💖  We're going to make a difference!!!,652,165
2016-03-12 00:18:00,britneyspears,Jingle ball here we come 🎀🎀🎀🎀 https://t.co/S491PJDzWl,8577,2257
2016-03-12 09:49:00,britneyspears,Thank you for the sweet birthday wishes! Had an amazing day. Love you all 💖💖💖 https://t.co/jzKBS3r1b7,8650,2434
2016-03-14 05:11:00,britneyspears,"Once upon a time, I was reading Lexie a pretty story... And then I got BUSTED! 😂 https://t.co/aqxkcnepRf",9922,2520
2016-03-16 05:26:00,britneyspears,Before we surprised @jamielynnspears tonight!! So proud of our baby sister ❤️❤️❤️ https://t.co/Pm9O0zMYXU,9743,2169
2016-03-16 19:12:00,britneyspears,My baby sister 💕 https://t.co/5Hp0Rd1r1E,12257,3318
2016-03-20 21:43:00,britneyspears,Just chilling ☀️ https://t.co/aQuBh2KHuc,21583,5697
2016-03-20 23:34:00,britneyspears,On the green today with these munchkins 💚 #SundayFunday https://t.co/fgTSLO46mO,9486,2040
2016-03-22 00:18:00,britneyspears,"If you're going to celebrate a birthday, Vegas is the best place to do it 🎉 #LoveTwitter  https://t.co/yWAWZs57PR",5882,1760
